anio,id_region,region,renta_media_hogar,renta_media_hogar_unidad,pbi_per_capita,pbi_per_capita_unidad,densidad_pobl,densidad_pobl_unidad
2008-01-01,ES11,Galicia,14000,EUR_HAB,21100,EUR_HAB,94.1,PER_KM2
2009-01-01,ES11,Galicia,13300,EUR_HAB,20300,EUR_HAB,94.4,PER_KM2
2010-01-01,ES11,Galicia,13300,EUR_HAB,20500,EUR_HAB,94.5,PER_KM2
2011-01-01,ES11,Galicia,13300,EUR_HAB,20100,EUR_HAB,94.5,PER_KM2
2012-01-01,ES11,Galicia,12500,EUR_HAB,19500,EUR_HAB,94.3,PER_KM2
2013-01-01,ES11,Galicia,12500,EUR_HAB,19600,EUR_HAB,93.9,PER_KM2
2014-01-01,ES11,Galicia,12700,EUR_HAB,19900,EUR_HAB,93.4,PER_KM2
2015-01-01,ES11,Galicia,13200,EUR_HAB,20900,EUR_HAB,92.9,PER_KM2
2016-01-01,ES11,Galicia,13500,EUR_HAB,21600,EUR_HAB,92.4,PER_KM2
2017-01-01,ES11,Galicia,14000,EUR_HAB,22400,EUR_HAB,92.1,PER_KM2
2018-01-01,ES11,Galicia,14500,EUR_HAB,23200,EUR_HAB,92,PER_KM2
2019-01-01,ES11,Galicia,15300,EUR_HAB,23900,EUR_HAB,92,PER_KM2
2020-01-01,ES11,Galicia,14300,EUR_HAB,21900,EUR_HAB,92,PER_KM2
2021-01-01,ES11,Galicia,15300,EUR_HAB,23900,EUR_HAB,91.9,PER_KM2
2022-01-01,ES11,Galicia,16600,EUR_HAB,26500,EUR_HAB,91.8,PER_KM2
2023-01-01,ES11,Galicia,NA,EUR_HAB,28600,EUR_HAB,92,PER_KM2
2008-01-01,ES12,Principado de Asturias,15200,EUR_HAB,22000,EUR_HAB,101.5,PER_KM2
2009-01-01,ES12,Principado de Asturias,14100,EUR_HAB,20800,EUR_HAB,101.8,PER_KM2
2010-01-01,ES12,Principado de Asturias,14100,EUR_HAB,21000,EUR_HAB,101.8,PER_KM2
2011-01-01,ES12,Principado de Asturias,14200,EUR_HAB,20700,EUR_HAB,101.7,PER_KM2
2012-01-01,ES12,Principado de Asturias,13200,EUR_HAB,19900,EUR_HAB,101.3,PER_KM2
2013-01-01,ES12,Principado de Asturias,13100,EUR_HAB,19500,EUR_HAB,100.5,PER_KM2
2014-01-01,ES12,Principado de Asturias,13100,EUR_HAB,19600,EUR_HAB,99.8,PER_KM2
2015-01-01,ES12,Principado de Asturias,13600,EUR_HAB,20500,EUR_HAB,99,PER_KM2
2016-01-01,ES12,Principado de Asturias,13700,EUR_HAB,20900,EUR_HAB,98.2,PER_KM2
2017-01-01,ES12,Principado de Asturias,14400,EUR_HAB,21900,EUR_HAB,97.6,PER_KM2
2018-01-01,ES12,Principado de Asturias,14800,EUR_HAB,22700,EUR_HAB,97,PER_KM2
2019-01-01,ES12,Principado de Asturias,15300,EUR_HAB,23200,EUR_HAB,96.6,PER_KM2
2020-01-01,ES12,Principado de Asturias,14400,EUR_HAB,21100,EUR_HAB,96.6,PER_KM2
2021-01-01,ES12,Principado de Asturias,15500,EUR_HAB,23400,EUR_HAB,96.2,PER_KM2
2022-01-01,ES12,Principado de Asturias,17000,EUR_HAB,26400,EUR_HAB,95.2,PER_KM2
2023-01-01,ES12,Principado de Asturias,NA,EUR_HAB,28100,EUR_HAB,95.4,PER_KM2
2008-01-01,ES13,Cantabria,16100,EUR_HAB,22900,EUR_HAB,110.4,PER_KM2
2009-01-01,ES13,Cantabria,14900,EUR_HAB,21800,EUR_HAB,111.5,PER_KM2
2010-01-01,ES13,Cantabria,14600,EUR_HAB,21900,EUR_HAB,112.1,PER_KM2
2011-01-01,ES13,Cantabria,14600,EUR_HAB,21400,EUR_HAB,112.5,PER_KM2
2012-01-01,ES13,Cantabria,13500,EUR_HAB,20700,EUR_HAB,112.4,PER_KM2
2013-01-01,ES13,Cantabria,13500,EUR_HAB,20300,EUR_HAB,111.9,PER_KM2
2014-01-01,ES13,Cantabria,13700,EUR_HAB,20700,EUR_HAB,111.4,PER_KM2
2015-01-01,ES13,Cantabria,14200,EUR_HAB,21300,EUR_HAB,110.9,PER_KM2
2016-01-01,ES13,Cantabria,14700,EUR_HAB,22100,EUR_HAB,110.5,PER_KM2
2017-01-01,ES13,Cantabria,15400,EUR_HAB,22900,EUR_HAB,110.4,PER_KM2
2018-01-01,ES13,Cantabria,16000,EUR_HAB,23800,EUR_HAB,110.4,PER_KM2
2019-01-01,ES13,Cantabria,16400,EUR_HAB,24500,EUR_HAB,110.5,PER_KM2
2020-01-01,ES13,Cantabria,15200,EUR_HAB,22300,EUR_HAB,110.5,PER_KM2
2021-01-01,ES13,Cantabria,16300,EUR_HAB,24300,EUR_HAB,110.7,PER_KM2
2022-01-01,ES13,Cantabria,17600,EUR_HAB,26500,EUR_HAB,111.4,PER_KM2
2023-01-01,ES13,Cantabria,NA,EUR_HAB,28500,EUR_HAB,111.9,PER_KM2
2008-01-01,ES21,País Vasco,20900,EUR_HAB,30600,EUR_HAB,301,PER_KM2
2009-01-01,ES21,País Vasco,19400,EUR_HAB,29200,EUR_HAB,302.4,PER_KM2
2010-01-01,ES21,País Vasco,19500,EUR_HAB,29500,EUR_HAB,303,PER_KM2
2011-01-01,ES21,País Vasco,19500,EUR_HAB,29300,EUR_HAB,303.4,PER_KM2
2012-01-01,ES21,País Vasco,18400,EUR_HAB,28600,EUR_HAB,302.9,PER_KM2
2013-01-01,ES21,País Vasco,18300,EUR_HAB,28300,EUR_HAB,301.7,PER_KM2
2014-01-01,ES21,País Vasco,18400,EUR_HAB,28800,EUR_HAB,299.6,PER_KM2
2015-01-01,ES21,País Vasco,19000,EUR_HAB,30000,EUR_HAB,301.3,PER_KM2
2016-01-01,ES21,País Vasco,19500,EUR_HAB,30800,EUR_HAB,301.2,PER_KM2
2017-01-01,ES21,País Vasco,20300,EUR_HAB,31900,EUR_HAB,301.7,PER_KM2
2018-01-01,ES21,País Vasco,20700,EUR_HAB,32800,EUR_HAB,302.4,PER_KM2
2019-01-01,ES21,País Vasco,21600,EUR_HAB,33600,EUR_HAB,303.7,PER_KM2
2020-01-01,ES21,País Vasco,20100,EUR_HAB,30100,EUR_HAB,303.7,PER_KM2
2021-01-01,ES21,País Vasco,21400,EUR_HAB,32900,EUR_HAB,304.2,PER_KM2
2022-01-01,ES21,País Vasco,23200,EUR_HAB,36400,EUR_HAB,307.5,PER_KM2
2023-01-01,ES21,País Vasco,NA,EUR_HAB,39500,EUR_HAB,309,PER_KM2
2008-01-01,ES22,Comunidad Foral de Navarra,20500,EUR_HAB,29900,EUR_HAB,60.1,PER_KM2
2009-01-01,ES22,Comunidad Foral de Navarra,19200,EUR_HAB,28600,EUR_HAB,60.9,PER_KM2
2010-01-01,ES22,Comunidad Foral de Navarra,19200,EUR_HAB,28500,EUR_HAB,61.4,PER_KM2
2011-01-01,ES22,Comunidad Foral de Navarra,19300,EUR_HAB,28300,EUR_HAB,61.7,PER_KM2
2012-01-01,ES22,Comunidad Foral de Navarra,17900,EUR_HAB,27200,EUR_HAB,61.8,PER_KM2
2013-01-01,ES22,Comunidad Foral de Navarra,17700,EUR_HAB,27200,EUR_HAB,61.6,PER_KM2
2014-01-01,ES22,Comunidad Foral de Navarra,17800,EUR_HAB,27700,EUR_HAB,61.5,PER_KM2
2015-01-01,ES22,Comunidad Foral de Navarra,18500,EUR_HAB,28800,EUR_HAB,61.6,PER_KM2
2016-01-01,ES22,Comunidad Foral de Navarra,18800,EUR_HAB,29600,EUR_HAB,61.7,PER_KM2
2017-01-01,ES22,Comunidad Foral de Navarra,19400,EUR_HAB,30600,EUR_HAB,62.1,PER_KM2
2018-01-01,ES22,Comunidad Foral de Navarra,19600,EUR_HAB,31200,EUR_HAB,62.5,PER_KM2
2019-01-01,ES22,Comunidad Foral de Navarra,20400,EUR_HAB,32100,EUR_HAB,63.1,PER_KM2
2020-01-01,ES22,Comunidad Foral de Navarra,18800,EUR_HAB,29000,EUR_HAB,63.1,PER_KM2
2021-01-01,ES22,Comunidad Foral de Navarra,20000,EUR_HAB,31500,EUR_HAB,63.5,PER_KM2
2022-01-01,ES22,Comunidad Foral de Navarra,21600,EUR_HAB,34700,EUR_HAB,64.6,PER_KM2
2023-01-01,ES22,Comunidad Foral de Navarra,NA,EUR_HAB,37100,EUR_HAB,65.3,PER_KM2
2008-01-01,ES23,La Rioja,17200,EUR_HAB,26000,EUR_HAB,63.2,PER_KM2
2009-01-01,ES23,La Rioja,15900,EUR_HAB,24700,EUR_HAB,63.6,PER_KM2
2010-01-01,ES23,La Rioja,15900,EUR_HAB,25000,EUR_HAB,63.7,PER_KM2
2011-01-01,ES23,La Rioja,16000,EUR_HAB,24700,EUR_HAB,63.8,PER_KM2
2012-01-01,ES23,La Rioja,15000,EUR_HAB,24000,EUR_HAB,63.6,PER_KM2
2013-01-01,ES23,La Rioja,15000,EUR_HAB,23900,EUR_HAB,63,PER_KM2
2014-01-01,ES23,La Rioja,15300,EUR_HAB,24600,EUR_HAB,62.4,PER_KM2
2015-01-01,ES23,La Rioja,15800,EUR_HAB,25600,EUR_HAB,62.2,PER_KM2
2016-01-01,ES23,La Rioja,16200,EUR_HAB,25700,EUR_HAB,62.2,PER_KM2
2017-01-01,ES23,La Rioja,16700,EUR_HAB,26600,EUR_HAB,62.2,PER_KM2
2018-01-01,ES23,La Rioja,17300,EUR_HAB,27500,EUR_HAB,62.3,PER_KM2
