anio,region,gini,pib_per_capita,tasa_pobr,pobl_total,tasa_informalidad,idh,ingreso_medio,prom_anio_estudio,tasa_homicidios
2012-01-01,Rondônia,0.487,16.1976442139243,39.9,1628,NA,0.692,1246.7172897391724,NA,33.08
2013-01-01,Rondônia,0.475,14.3263937066782,37.5,1648,NA,0.694,1241.6871880977644,NA,27.95
2014-01-01,Rondônia,0.443,14.35718640172,35.6,1668,NA,0.691,1230.2830775091975,NA,33.06
2015-01-01,Rondônia,0.462,14.1809680153005,37.8,1688,NA,0.689,1224.803031596455,NA,33.93
2016-01-01,Rondônia,0.465,14.0062209633168,37.6,1708,46.6,0.686,1194.0166833903108,8,39.33
2017-01-01,Rondônia,0.447,14.7460963776224,34.7,1727,49.5,0.693,1250.2393726901892,8.4,30.68
2018-01-01,Rondônia,0.496,14.9647054438526,33.5,1747,48,0.71,1413.3830403826867,8.6,27.08
2019-01-01,Rondônia,0.472,14.8879108373528,32.5,1767,50.9,0.705,1371.5913212492242,8.8,25.15
2020-01-01,Rondônia,0.439,15.1572098950749,28.7,1786,47.6,0.704,1352.288466376011,NA,25.38
2021-01-01,Rondônia,0.459,14.9583531023733,39.2,1717,48.7,0.677,1144.5474531167974,NA,29.52
2022-01-01,Rondônia,0.447,18.1630115514784,29.6,1721,48.1,NA,1384.7667344540737,9.2,32.97
2023-01-01,Rondônia,0.455,NA,24.4140564982483,1727,48.2,NA,1523.3966753986758,9,29.98370450841934
2024-01-01,Rondônia,0.443,NA,20.489069004458543,1733,44.5,NA,1720.1111225559157,9.2,NA
2012-01-01,Acre,0.566,11.4269877798881,53.9,777,NA,0.67,1126.6679900475265,NA,27.41
2013-01-01,Acre,0.553,11.7561880507106,53.5,790,NA,0.67,1112.650610111155,NA,30.14
2014-01-01,Acre,0.529,12.5657562388997,51.4,803,NA,0.669,1116.2610181813634,NA,29.36
2015-01-01,Acre,0.549,11.6269553642533,52.5,816,NA,0.674,1157.3996296505825,NA,27.01
2016-01-01,Acre,0.563,10.6839845090227,56.6,828,54,0.66,1050.7185702608822,8,44.45
2017-01-01,Acre,0.545,10.5275709347469,54.6,840,50,0.655,1025.589806014683,8.3,62.2
2018-01-01,Acre,0.558,10.3282264439857,50.2,853,52.7,0.676,1180.2807896726067,8.4,47.05
2019-01-01,Acre,0.559,9.95767696896207,51.9,865,51.6,0.668,1113.2394011444321,8.7,36.85
2020-01-01,Acre,0.515,9.72060944942441,48.4,878,51.6,0.668,1122.504679042041,NA,33.98
2021-01-01,Acre,0.539,11.0020592940565,54.1,848,46.5,0.655,1011.46758708461,NA,22.6
2022-01-01,Acre,0.523,12.2645037316928,51,852,47.2,NA,1073.6646416740416,9.4,26.39
2023-01-01,Acre,0.511,NA,51.49683073689808,856,45.1,NA,1074.354951007459,9,23.7417943107221
2024-01-01,Acre,0.504,NA,45.94635325388744,860,43.9,NA,1258.9802343104113,9.2,NA
2012-01-01,Amazonas,0.589,17.206097604927,53.5,3541,NA,0.683,1175.537880411467,NA,37.43
2013-01-01,Amazonas,0.581,17.3513491371733,53.4,3605,NA,0.683,1161.5813240654336,NA,31.28
2014-01-01,Amazonas,0.562,16.5043867241644,50.6,3671,NA,0.683,1172.9381934580142,NA,32.01
2015-01-01,Amazonas,0.553,15.0743297144614,52.2,3736,NA,0.673,1109.2313662075333,NA,37.38
2016-01-01,Amazonas,0.558,14.1154730194179,59.3,3798,55.9,0.654,973.7683011443994,9,36.28
2017-01-01,Amazonas,0.591,14.0405494097533,56.7,3859,58.1,0.672,1096.4099172736703,9.4,41.19
2018-01-01,Amazonas,0.544,14.3665643845675,55.2,3922,54.3,0.655,1002.5260233275491,9.5,37.79
2019-01-01,Amazonas,0.566,14.6657477161794,56.4,3983,55.4,0.658,1019.8757695415878,9.8,38.41
2020-01-01,Amazonas,0.533,14.5506078559738,51.6,4044,59.1,0.657,1009.4612004283591,NA,31.51
2021-01-01,Amazonas,0.541,14.378978209820101,58.4,4000,59.8,0.641,914.875913795966,NA,42.52
2022-01-01,Amazonas,0.509,15.8321972541652,55.1,4039,58.1,NA,990.7277376129393,10.1,42.55
2023-01-01,Amazonas,0.512,NA,45.49327558084757,4078,57.2,NA,1165.8202527092858,10.1,36.83961146647714
2024-01-01,Amazonas,0.474,NA,39.21087358901987,4117,53.3,NA,1229.9496248054963,10.3,NA
2012-01-01,Roraima,0.549,14.0469231462247,41.4,427,NA,0.717,1450.5406346306765,NA,30.67
2013-01-01,Roraima,0.556,14.6876033648444,42.5,437,NA,0.723,1486.3405681386132,NA,43.85
2014-01-01,Roraima,0.523,14.4647338472252,39.3,446,NA,0.712,1406.1863330953065,NA,31.79
2015-01-01,Roraima,0.537,13.8916143598239,38,457,NA,0.719,1475.058820360269,NA,40.15
2016-01-01,Roraima,0.537,13.586597638226,40.3,468,44.3,0.714,1416.7159802639594,9.6,39.67
2017-01-01,Roraima,0.526,14.172564025136,43.7,487,44,0.697,1285.1709541035457,10,47.45
2018-01-01,Roraima,0.566,13.5795212567416,40.3,513,44.6,0.723,1529.7733300880802,10,71.8
2019-01-01,Roraima,0.58,13.2566489963717,49.7,540,48.3,0.696,1291.3554974214653,10.4,38.63
2020-01-01,Roraima,0.54,13.3974520309745,48.5,563,45.8,0.68,1158.0865664632897,NA,37.54
2021-01-01,Roraima,0.596,13.0178063454744,57.1,574,49.8,0.68,1160.3287136064623,NA,39.52
2022-01-01,Roraima,0.547,14.2453657969699,45.1,590,45.2,NA,1303.663467147089,10.5,38.64
2023-01-01,Roraima,0.52,NA,35.47688903505153,608,48.1,NA,1428.220490725897,10.6,35.9016393442623
2024-01-01,Roraima,0.53,NA,37.56315085988252,627,44.7,NA,1512.6956884919596,10.8,NA
2012-01-01,Pará,0.533,11.7752873256724,54.5,7921,NA,0.658,1001.8465550655345,NA,41.37
2013-01-01,Pará,0.531,12.1011674780653,54.6,8014,NA,0.66,1000.0234157016496,NA,42.72
2014-01-01,Pará,0.507,11.3827999098225,51,8109,NA,0.66,1013.2362980492276,NA,42.68
2015-01-01,Pará,0.515,10.9808689427002,53.1,8204,NA,0.656,990.6835127753604,NA,44.95
2016-01-01,Pará,0.51,10.5908772272473,55,8293,60.5,0.646,924.8341662236605,8.1,50.85
2017-01-01,Pará,0.506,11.3533837932537,53.9,8381,61.7,0.647,932.8567440912543,8.3,54.68
2018-01-01,Pará,0.562,11.1193636927088,53.4,8472,61.1,0.667,1079.3105342288277,8.5,53.19
2019-01-01,Pará,0.528,11.6719546412561,54.7,8561,61.4,0.651,972.9527514776278,8.7,39.58
2020-01-01,Pará,0.48,13.1118798171879,46.3,8649,61.1,0.664,1047.9185662734967,NA,32.32
2021-01-01,Pará,0.529,13.9821424270306,55.1,8470,58.6,0.645,934.2959976570472,NA,32.43
2022-01-01,Pará,0.508,12.5036449413336,47,8519,62.9,NA,1112.710701849275,8.9,32.89
