pais,region,tramo,anio,ent_nr,ent_brth_nr,ent_dth_nr,ent_srvl_y3_nr,emp_nr,sal_nr,emp_brth_nr,sal_brth_nr,emp_dth_nr,sal_dth_nr,emp_srvl_y3_nr,emp_srvl_ybrth_y3_nr,grw_ent_pc,ent_brthr_dthr_pc,ent_brthr_pc,ent_brth_pp_pc,ent_dthr_pc,ent_dth_pp_pc,ent_srvlr_brth_y3_pc,ent_srvlr_y3_pc,emp_brthr_pc,ent_brth_empsize_nr,sal_emp_brthr_pc,emp_dthr_pc,ent_dth_empsize_nr,grw_emp_srvl_y3_pc,emp_srvlr_y3_pc,ent_srvl_empsize_y3_nr
Spain,ESPAÑA,0,2011,2012258,226416,240872,115837,2087530,0,230884,0,251597,0,176228,114640,NA,23.22,11.25,78.68,11.97,NA,NA,5.76,11.06,1.02,0,12.05,1.04,53.72,8.44,1.52
Spain,ESPAÑA,0,2012,1921317,225477,228073,107532,1991588,0,231404,0,243947,0,172830,107644,-4.52,23.61,11.74,78.48,11.87,NA,NA,5.6,11.62,1.03,0,12.25,1.07,60.56,8.68,1.61
Spain,ESPAÑA,0,2013,1895560,227682,218245,110597,1955072,0,233721,0,227136,0,174822,111111,-1.34,23.52,12.01,77.58,11.51,NA,NA,5.83,11.95,1.03,0,11.62,1.04,57.34,8.94,1.58
Spain,ESPAÑA,0,2014,1940890,280401,NA,112854,1994293,0,285364,0,NA,NA,178011,112877,2.39,NA,14.45,80.67,NA,NA,49.84,5.81,14.31,1.02,0,NA,NA,57.7,8.93,1.58
Spain,ESPAÑA,0,2016,2045920,283774,227027,119974,2061559,0,278615,0,239747,0,195668,119437,NA,24.97,13.87,77.46,11.1,71.7,52.69,5.86,13.51,0.98,0,11.63,1.06,63.83,9.49,1.63
Spain,ESPAÑA,0,2017,2038645,265932,200381,142033,2024174,0,258928,0,202987,0,182158,141133,-0.36,22.87,13.04,79.15,9.83,70.74,50.65,6.97,12.79,0.97,0,10.03,1.01,29.07,9,1.28
Spain,ESPAÑA,0,2018,2124349,305034,210117,143254,2082189,0,293202,0,210284,0,226095,140315,4.2,24.25,14.36,80.96,9.89,71.32,NA,6.74,14.08,0.96,0,10.1,1,61.13,10.86,1.58
Spain,ESPAÑA,0,2019,2180690,298354,236721,152741,2135005,0,287333,0,235642,0,246629,148040,2.65,24.54,13.68,81.54,10.86,74.19,53.82,7,13.46,0.96,0,11.04,1,66.6,11.55,1.61
Spain,ESPAÑA,0,2020,2148997,231633,NA,140688,2097176,0,224379,0,NA,NA,219657,135506,-1.45,NA,10.78,83.16,NA,NA,52.9,6.55,10.7,0.97,0,NA,NA,62.1,10.47,1.56
Spain,NOROESTE,0,2011,179159,19938,19346,10076,190768,0,20705,0,20556,0,15186,10362,NA,21.93,11.13,78.26,10.8,NA,NA,5.62,10.85,1.04,0,10.78,1.06,46.55,7.96,1.51
Spain,NOROESTE,0,2012,172102,19466,18844,9727,183457,0,20643,0,20487,0,14743,9975,-3.94,22.26,11.31,77.76,10.95,NA,NA,5.65,11.25,1.06,0,11.17,1.09,47.8,8.04,1.52
Spain,NOROESTE,0,2013,171479,20411,18506,9785,182091,0,21468,0,19556,0,16226,10077,-0.36,22.69,11.9,78.1,10.79,NA,NA,5.71,11.79,1.05,0,10.74,1.06,61.02,8.91,1.66
Spain,NOROESTE,0,2014,176969,25372,NA,10717,187529,0,26479,0,NA,NA,16655,10994,3.2,NA,14.34,81.17,NA,NA,53.75,6.06,14.12,1.04,0,NA,NA,51.49,8.88,1.55
Spain,NOROESTE,0,2016,185962,24043,19445,11246,193270,0,24135,0,21198,0,17522,11536,NA,23.39,12.93,77.15,10.46,68.4,55.1,6.05,12.49,1,0,10.97,1.09,51.89,9.07,1.56
