anio,id_region,region,renta_media_hogar,renta_media_hogar_unidad,pbi_per_capita,pbi_per_capita_unidad,densidad_pobl,densidad_pobl_unidad,poblacion_total,poblacion_total_unidad,tasa_criminalidad,tasa_criminalidad_unidad,tasa_pobreza,tasa_pobreza_unidad,hdi,hdi_unidad
2008-01-01,ITC1,Piemonte,22700,EUR_HAB,29400,EUR_HAB,174.7,PER_KM2,NA,NA,0.6,P_HTHAB,12.1,PC,0.888,Indice
2008-01-01,ITC1,Piemonte,22700,EUR_HAB,29400,EUR_HAB,174.7,PER_KM2,NA,NA,129.64,P_HTHAB,12.1,PC,0.888,Indice
2008-01-01,ITC1,Piemonte,22700,EUR_HAB,29400,EUR_HAB,174.7,PER_KM2,NA,NA,NA,P_HTHAB,12.1,PC,0.888,Indice
2008-01-01,ITC1,Piemonte,22700,EUR_HAB,29400,EUR_HAB,174.7,PER_KM2,NA,NA,388.61,P_HTHAB,12.1,PC,0.888,Indice
2008-01-01,ITC1,Piemonte,22700,EUR_HAB,29400,EUR_HAB,174.7,PER_KM2,NA,NA,2132.56,P_HTHAB,12.1,PC,0.888,Indice
2008-01-01,ITC1,Piemonte,22700,EUR_HAB,29400,EUR_HAB,174.7,PER_KM2,NA,NA,285.34,P_HTHAB,12.1,PC,0.888,Indice
2009-01-01,ITC1,Piemonte,21100,EUR_HAB,27300,EUR_HAB,175.3,PER_KM2,NA,NA,0.57,P_HTHAB,10.6,PC,0.886,Indice
2009-01-01,ITC1,Piemonte,21100,EUR_HAB,27300,EUR_HAB,175.3,PER_KM2,NA,NA,128.98,P_HTHAB,10.6,PC,0.886,Indice
2009-01-01,ITC1,Piemonte,21100,EUR_HAB,27300,EUR_HAB,175.3,PER_KM2,NA,NA,NA,P_HTHAB,10.6,PC,0.886,Indice
2009-01-01,ITC1,Piemonte,21100,EUR_HAB,27300,EUR_HAB,175.3,PER_KM2,NA,NA,376.92,P_HTHAB,10.6,PC,0.886,Indice
2009-01-01,ITC1,Piemonte,21100,EUR_HAB,27300,EUR_HAB,175.3,PER_KM2,NA,NA,2036.44,P_HTHAB,10.6,PC,0.886,Indice
2009-01-01,ITC1,Piemonte,21100,EUR_HAB,27300,EUR_HAB,175.3,PER_KM2,NA,NA,256.52,P_HTHAB,10.6,PC,0.886,Indice
2010-01-01,ITC1,Piemonte,21100,EUR_HAB,28300,EUR_HAB,175.5,PER_KM2,NA,NA,0.94,P_HTHAB,13.2,PC,0.89,Indice
2010-01-01,ITC1,Piemonte,21100,EUR_HAB,28300,EUR_HAB,175.5,PER_KM2,NA,NA,121.8,P_HTHAB,13.2,PC,0.89,Indice
2010-01-01,ITC1,Piemonte,21100,EUR_HAB,28300,EUR_HAB,175.5,PER_KM2,NA,NA,NA,P_HTHAB,13.2,PC,0.89,Indice
2010-01-01,ITC1,Piemonte,21100,EUR_HAB,28300,EUR_HAB,175.5,PER_KM2,NA,NA,423.17,P_HTHAB,13.2,PC,0.89,Indice
2010-01-01,ITC1,Piemonte,21100,EUR_HAB,28300,EUR_HAB,175.5,PER_KM2,NA,NA,228.22,P_HTHAB,13.2,PC,0.89,Indice
2011-01-01,ITC1,Piemonte,21500,EUR_HAB,28900,EUR_HAB,175.4,PER_KM2,NA,NA,0.78,P_HTHAB,13.2,PC,0.893,Indice
2011-01-01,ITC1,Piemonte,21500,EUR_HAB,28900,EUR_HAB,175.4,PER_KM2,NA,NA,126.62,P_HTHAB,13.2,PC,0.893,Indice
2011-01-01,ITC1,Piemonte,21500,EUR_HAB,28900,EUR_HAB,175.4,PER_KM2,NA,NA,NA,P_HTHAB,13.2,PC,0.893,Indice
