Total Nacional;Comunidades y Ciudades Autónomas;Tipo de tasa;Periodo;Total
Total Nacional;01 Andalucía;Tasa de homicidios;2023;0,82
Total Nacional;01 Andalucía;Tasa de homicidios;2022;0,86
Total Nacional;01 Andalucía;Tasa de homicidios;2021;0,65
Total Nacional;01 Andalucía;Tasa de homicidios;2020;0,72
Total Nacional;01 Andalucía;Tasa de homicidios;2019;0,97
Total Nacional;01 Andalucía;Tasa de homicidios;2018;0,86
Total Nacional;01 Andalucía;Tasa de homicidios;2017;0,58
Total Nacional;01 Andalucía;Tasa de homicidios;2016;0,81
Total Nacional;01 Andalucía;Tasa de homicidios;2015;0,78
Total Nacional;01 Andalucía;Tasa de homicidios;2014;0,82
Total Nacional;01 Andalucía;Tasa de homicidios;2013;0,78
Total Nacional;01 Andalucía;Tasa de homicidios;2012;0,81
Total Nacional;01 Andalucía;Tasa de homicidios;2011;1,02
Total Nacional;01 Andalucía;Tasa de homicidios;2010;0,94
Total Nacional;02 Aragón;Tasa de homicidios;2023;0,67
Total Nacional;02 Aragón;Tasa de homicidios;2022;0,74
Total Nacional;02 Aragón;Tasa de homicidios;2021;0,38
Total Nacional;02 Aragón;Tasa de homicidios;2020;0,30
Total Nacional;02 Aragón;Tasa de homicidios;2019;0,45
Total Nacional;02 Aragón;Tasa de homicidios;2018;0,68
Total Nacional;02 Aragón;Tasa de homicidios;2017;0,61
Total Nacional;02 Aragón;Tasa de homicidios;2016;0,61
Total Nacional;02 Aragón;Tasa de homicidios;2015;0,68
Total Nacional;02 Aragón;Tasa de homicidios;2014;0,38
Total Nacional;02 Aragón;Tasa de homicidios;2013;0,52
Total Nacional;02 Aragón;Tasa de homicidios;2012;0,45
Total Nacional;02 Aragón;Tasa de homicidios;2011;0,45
Total Nacional;02 Aragón;Tasa de homicidios;2010;0,74
Total Nacional;03 Asturias, Principado de;Tasa de homicidios;2023;0,59
Total Nacional;03 Asturias, Principado de;Tasa de homicidios;2022;0,60
Total Nacional;03 Asturias, Principado de;Tasa de homicidios;2021;0,10
Total Nacional;03 Asturias, Principado de;Tasa de homicidios;2020;0,49
Total Nacional;03 Asturias, Principado de;Tasa de homicidios;2019;0,69
Total Nacional;03 Asturias, Principado de;Tasa de homicidios;2018;0,68
Total Nacional;03 Asturias, Principado de;Tasa de homicidios;2017;0,49
Total Nacional;03 Asturias, Principado de;Tasa de homicidios;2016;0,58
Total Nacional;03 Asturias, Principado de;Tasa de homicidios;2015;0,38
Total Nacional;03 Asturias, Principado de;Tasa de homicidios;2014;0,66
Total Nacional;03 Asturias, Principado de;Tasa de homicidios;2013;0,75
Total Nacional;03 Asturias, Principado de;Tasa de homicidios;2012;0,56
Total Nacional;03 Asturias, Principado de;Tasa de homicidios;2011;0,84
Total Nacional;03 Asturias, Principado de;Tasa de homicidios;2010;1,77
Total Nacional;04 Balears, Illes;Tasa de homicidios;2023;0,65
Total Nacional;04 Balears, Illes;Tasa de homicidios;2022;0,25
Total Nacional;04 Balears, Illes;Tasa de homicidios;2021;0,51
Total Nacional;04 Balears, Illes;Tasa de homicidios;2020;0,59
Total Nacional;04 Balears, Illes;Tasa de homicidios;2019;0,51
Total Nacional;04 Balears, Illes;Tasa de homicidios;2018;0,70
Total Nacional;04 Balears, Illes;Tasa de homicidios;2017;0,35
Total Nacional;04 Balears, Illes;Tasa de homicidios;2016;0,80
Total Nacional;04 Balears, Illes;Tasa de homicidios;2015;0,72
Total Nacional;04 Balears, Illes;Tasa de homicidios;2014;1,08
Total Nacional;04 Balears, Illes;Tasa de homicidios;2013;0,90
Total Nacional;04 Balears, Illes;Tasa de homicidios;2012;0,45
Total Nacional;04 Balears, Illes;Tasa de homicidios;2011;1,10
Total Nacional;04 Balears, Illes;Tasa de homicidios;2010;0,55
Total Nacional;05 Canarias;Tasa de homicidios;2023;0,76
Total Nacional;05 Canarias;Tasa de homicidios;2022;0,58
Total Nacional;05 Canarias;Tasa de homicidios;2021;0,73
Total Nacional;05 Canarias;Tasa de homicidios;2020;0,55
Total Nacional;05 Canarias;Tasa de homicidios;2019;0,92
Total Nacional;05 Canarias;Tasa de homicidios;2018;1,17
Total Nacional;05 Canarias;Tasa de homicidios;2017;0,94
Total Nacional;05 Canarias;Tasa de homicidios;2016;1,00
Total Nacional;05 Canarias;Tasa de homicidios;2015;0,95
Total Nacional;05 Canarias;Tasa de homicidios;2014;0,57
Total Nacional;05 Canarias;Tasa de homicidios;2013;0,62
Total Nacional;05 Canarias;Tasa de homicidios;2012;0,72
Total Nacional;05 Canarias;Tasa de homicidios;2011;0,82
Total Nacional;05 Canarias;Tasa de homicidios;2010;0,83
Total Nacional;06 Cantabria;Tasa de homicidios;2023;0,00
Total Nacional;06 Cantabria;Tasa de homicidios;2022;0,17
Total Nacional;06 Cantabria;Tasa de homicidios;2021;0,68
Total Nacional;06 Cantabria;Tasa de homicidios;2020;0,17
Total Nacional;06 Cantabria;Tasa de homicidios;2019;1,03
Total Nacional;06 Cantabria;Tasa de homicidios;2018;0,34
Total Nacional;06 Cantabria;Tasa de homicidios;2017;0,52
Total Nacional;06 Cantabria;Tasa de homicidios;2016;0,00
Total Nacional;06 Cantabria;Tasa de homicidios;2015;0,51
Total Nacional;06 Cantabria;Tasa de homicidios;2014;0,51
Total Nacional;06 Cantabria;Tasa de homicidios;2013;0,68
Total Nacional;06 Cantabria;Tasa de homicidios;2012;0,17
Total Nacional;06 Cantabria;Tasa de homicidios;2011;0,34
Total Nacional;06 Cantabria;Tasa de homicidios;2010;0,34
Total Nacional;07 Castilla y León;Tasa de homicidios;2023;0,42
Total Nacional;07 Castilla y León;Tasa de homicidios;2022;0,67
Total Nacional;07 Castilla y León;Tasa de homicidios;2021;0,55
Total Nacional;07 Castilla y León;Tasa de homicidios;2020;0,67
Total Nacional;07 Castilla y León;Tasa de homicidios;2019;0,33
Total Nacional;07 Castilla y León;Tasa de homicidios;2018;0,46
Total Nacional;07 Castilla y León;Tasa de homicidios;2017;0,54
Total Nacional;07 Castilla y León;Tasa de homicidios;2016;0,45
Total Nacional;07 Castilla y León;Tasa de homicidios;2015;0,37
Total Nacional;07 Castilla y León;Tasa de homicidios;2014;0,56
Total Nacional;07 Castilla y León;Tasa de homicidios;2013;0,76
Total Nacional;07 Castilla y León;Tasa de homicidios;2012;0,59
Total Nacional;07 Castilla y León;Tasa de homicidios;2011;0,79
Total Nacional;07 Castilla y León;Tasa de homicidios;2010;0,39
Total Nacional;08 Castilla - La Mancha;Tasa de homicidios;2023;0,71
Total Nacional;08 Castilla - La Mancha;Tasa de homicidios;2022;0,91
Total Nacional;08 Castilla - La Mancha;Tasa de homicidios;2021;0,49
Total Nacional;08 Castilla - La Mancha;Tasa de homicidios;2020;0,83
Total Nacional;08 Castilla - La Mancha;Tasa de homicidios;2019;0,54
Total Nacional;08 Castilla - La Mancha;Tasa de homicidios;2018;0,39
Total Nacional;08 Castilla - La Mancha;Tasa de homicidios;2017;0,59
Total Nacional;08 Castilla - La Mancha;Tasa de homicidios;2016;0,54
Total Nacional;08 Castilla - La Mancha;Tasa de homicidios;2015;0,63
Total Nacional;08 Castilla - La Mancha;Tasa de homicidios;2014;0,77
Total Nacional;08 Castilla - La Mancha;Tasa de homicidios;2013;0,72
Total Nacional;08 Castilla - La Mancha;Tasa de homicidios;2012;0,81
Total Nacional;08 Castilla - La Mancha;Tasa de homicidios;2011;0,38
Total Nacional;08 Castilla - La Mancha;Tasa de homicidios;2010;0,57
Total Nacional;09 Cataluña;Tasa de homicidios;2023;0,88
Total Nacional;09 Cataluña;Tasa de homicidios;2022;0,79
Total Nacional;09 Cataluña;Tasa de homicidios;2021;0,74
Total Nacional;09 Cataluña;Tasa de homicidios;2020;0,62
Total Nacional;09 Cataluña;Tasa de homicidios;2019;0,76
Total Nacional;09 Cataluña;Tasa de homicidios;2018;0,59
Total Nacional;09 Cataluña;Tasa de homicidios;2017;0,87
Total Nacional;09 Cataluña;Tasa de homicidios;2016;0,72
Total Nacional;09 Cataluña;Tasa de homicidios;2015;0,57
Total Nacional;09 Cataluña;Tasa de homicidios;2014;0,77
Total Nacional;09 Cataluña;Tasa de homicidios;2013;0,58
Total Nacional;09 Cataluña;Tasa de homicidios;2012;0,99
Total Nacional;09 Cataluña;Tasa de homicidios;2011;1,01
Total Nacional;09 Cataluña;Tasa de homicidios;2010;1,30
Total Nacional;10 Comunitat Valenciana;Tasa de homicidios;2023;0,63
Total Nacional;10 Comunitat Valenciana;Tasa de homicidios;2022;0,72
Total Nacional;10 Comunitat Valenciana;Tasa de homicidios;2021;0,69
Total Nacional;10 Comunitat Valenciana;Tasa de homicidios;2020;0,73
Total Nacional;10 Comunitat Valenciana;Tasa de homicidios;2019;0,80
Total Nacional;10 Comunitat Valenciana;Tasa de homicidios;2018;0,50
Total Nacional;10 Comunitat Valenciana;Tasa de homicidios;2017;0,83
Total Nacional;10 Comunitat Valenciana;Tasa de homicidios;2016;0,61
Total Nacional;10 Comunitat Valenciana;Tasa de homicidios;2015;0,97
Total Nacional;10 Comunitat Valenciana;Tasa de homicidios;2014;0,65
Total Nacional;10 Comunitat Valenciana;Tasa de homicidios;2013;0,64
Total Nacional;10 Comunitat Valenciana;Tasa de homicidios;2012;1,02
Total Nacional;10 Comunitat Valenciana;Tasa de homicidios;2011;0,92
Total Nacional;10 Comunitat Valenciana;Tasa de homicidios;2010;0,92
Total Nacional;11 Extremadura;Tasa de homicidios;2023;0,38
Total Nacional;11 Extremadura;Tasa de homicidios;2022;0,28
Total Nacional;11 Extremadura;Tasa de homicidios;2021;0,38
Total Nacional;11 Extremadura;Tasa de homicidios;2020;0,85
Total Nacional;11 Extremadura;Tasa de homicidios;2019;0,47
Total Nacional;11 Extremadura;Tasa de homicidios;2018;0,37
Total Nacional;11 Extremadura;Tasa de homicidios;2017;0,74
Total Nacional;11 Extremadura;Tasa de homicidios;2016;0,65
Total Nacional;11 Extremadura;Tasa de homicidios;2015;0,09
Total Nacional;11 Extremadura;Tasa de homicidios;2014;0,37
Total Nacional;11 Extremadura;Tasa de homicidios;2013;0,64
Total Nacional;11 Extremadura;Tasa de homicidios;2012;1,18
Total Nacional;11 Extremadura;Tasa de homicidios;2011;0,91
Total Nacional;11 Extremadura;Tasa de homicidios;2010;0,27
Total Nacional;12 Galicia;Tasa de homicidios;2023;0,66
Total Nacional;12 Galicia;Tasa de homicidios;2022;0,26
Total Nacional;12 Galicia;Tasa de homicidios;2021;0,67
Total Nacional;12 Galicia;Tasa de homicidios;2020;0,41
Total Nacional;12 Galicia;Tasa de homicidios;2019;0,59
Total Nacional;12 Galicia;Tasa de homicidios;2018;0,30
Total Nacional;12 Galicia;Tasa de homicidios;2017;0,48
Total Nacional;12 Galicia;Tasa de homicidios;2016;0,44
Total Nacional;12 Galicia;Tasa de homicidios;2015;0,70
Total Nacional;12 Galicia;Tasa de homicidios;2014;0,73
Total Nacional;12 Galicia;Tasa de homicidios;2013;0,55
Total Nacional;12 Galicia;Tasa de homicidios;2012;0,58
Total Nacional;12 Galicia;Tasa de homicidios;2011;0,51
Total Nacional;12 Galicia;Tasa de homicidios;2010;0,61
Total Nacional;13 Madrid, Comunidad de;Tasa de homicidios;2023;0,47
Total Nacional;13 Madrid, Comunidad de;Tasa de homicidios;2022;0,66
Total Nacional;13 Madrid, Comunidad de;Tasa de homicidios;2021;0,55
Total Nacional;13 Madrid, Comunidad de;Tasa de homicidios;2020;0,56
Total Nacional;13 Madrid, Comunidad de;Tasa de homicidios;2019;0,48
Total Nacional;13 Madrid, Comunidad de;Tasa de homicidios;2018;0,55
Total Nacional;13 Madrid, Comunidad de;Tasa de homicidios;2017;0,60
Total Nacional;13 Madrid, Comunidad de;Tasa de homicidios;2016;0,51
Total Nacional;13 Madrid, Comunidad de;Tasa de homicidios;2015;0,47
Total Nacional;13 Madrid, Comunidad de;Tasa de homicidios;2014;0,64
Total Nacional;13 Madrid, Comunidad de;Tasa de homicidios;2013;0,58
Total Nacional;13 Madrid, Comunidad de;Tasa de homicidios;2012;0,75
Total Nacional;13 Madrid, Comunidad de;Tasa de homicidios;2011;0,72
Total Nacional;13 Madrid, Comunidad de;Tasa de homicidios;2010;0,80
Total Nacional;14 Murcia, Región de;Tasa de homicidios;2023;0,95
Total Nacional;14 Murcia, Región de;Tasa de homicidios;2022;0,51
Total Nacional;14 Murcia, Región de;Tasa de homicidios;2021;0,92
Total Nacional;14 Murcia, Región de;Tasa de homicidios;2020;0,66
Total Nacional;14 Murcia, Región de;Tasa de homicidios;2019;0,87
Total Nacional;14 Murcia, Región de;Tasa de homicidios;2018;0,74
Total Nacional;14 Murcia, Región de;Tasa de homicidios;2017;0,95
Total Nacional;14 Murcia, Región de;Tasa de homicidios;2016;0,82
Total Nacional;14 Murcia, Región de;Tasa de homicidios;2015;0,82
Total Nacional;14 Murcia, Región de;Tasa de homicidios;2014;0,55
Total Nacional;14 Murcia, Región de;Tasa de homicidios;2013;0,34
Total Nacional;14 Murcia, Región de;Tasa de homicidios;2012;0,68
Total Nacional;14 Murcia, Región de;Tasa de homicidios;2011;0,68
Total Nacional;14 Murcia, Región de;Tasa de homicidios;2010;1,03
Total Nacional;15 Navarra, Comunidad Foral de;Tasa de homicidios;2023;0,88
Total Nacional;15 Navarra, Comunidad Foral de;Tasa de homicidios;2022;0,44
Total Nacional;15 Navarra, Comunidad Foral de;Tasa de homicidios;2021;0,30
Total Nacional;15 Navarra, Comunidad Foral de;Tasa de homicidios;2020;0,15
Total Nacional;15 Navarra, Comunidad Foral de;Tasa de homicidios;2019;0,76
Total Nacional;15 Navarra, Comunidad Foral de;Tasa de homicidios;2018;1,54
Total Nacional;15 Navarra, Comunidad Foral de;Tasa de homicidios;2017;1,09
Total Nacional;15 Navarra, Comunidad Foral de;Tasa de homicidios;2016;0,16
Total Nacional;15 Navarra, Comunidad Foral de;Tasa de homicidios;2015;0,47
Total Nacional;15 Navarra, Comunidad Foral de;Tasa de homicidios;2014;0,16
Total Nacional;15 Navarra, Comunidad Foral de;Tasa de homicidios;2013;0,63
Total Nacional;15 Navarra, Comunidad Foral de;Tasa de homicidios;2012;0,31
Total Nacional;15 Navarra, Comunidad Foral de;Tasa de homicidios;2011;0,78
Total Nacional;15 Navarra, Comunidad Foral de;Tasa de homicidios;2010;0,47
Total Nacional;16 País Vasco;Tasa de homicidios;2023;0,27
Total Nacional;16 País Vasco;Tasa de homicidios;2022;0,36
Total Nacional;16 País Vasco;Tasa de homicidios;2021;0,50
Total Nacional;16 País Vasco;Tasa de homicidios;2020;0,59
Total Nacional;16 País Vasco;Tasa de homicidios;2019;0,45
Total Nacional;16 País Vasco;Tasa de homicidios;2018;0,27
Total Nacional;16 País Vasco;Tasa de homicidios;2017;0,23
Total Nacional;16 País Vasco;Tasa de homicidios;2016;0,28
Total Nacional;16 País Vasco;Tasa de homicidios;2015;0,51
Total Nacional;16 País Vasco;Tasa de homicidios;2014;0,46
Total Nacional;16 País Vasco;Tasa de homicidios;2013;0,60
Total Nacional;16 País Vasco;Tasa de homicidios;2012;0,55
Total Nacional;16 País Vasco;Tasa de homicidios;2011;0,55
Total Nacional;16 País Vasco;Tasa de homicidios;2010;0,46
Total Nacional;17 Rioja, La;Tasa de homicidios;2023;0,92
Total Nacional;17 Rioja, La;Tasa de homicidios;2022;0,31
Total Nacional;17 Rioja, La;Tasa de homicidios;2021;0,94
Total Nacional;17 Rioja, La;Tasa de homicidios;2020;1,57
Total Nacional;17 Rioja, La;Tasa de homicidios;2019;0,00
Total Nacional;17 Rioja, La;Tasa de homicidios;2018;0,32
Total Nacional;17 Rioja, La;Tasa de homicidios;2017;0,00
Total Nacional;17 Rioja, La;Tasa de homicidios;2016;0,00
Total Nacional;17 Rioja, La;Tasa de homicidios;2015;0,32
Total Nacional;17 Rioja, La;Tasa de homicidios;2014;0,95
Total Nacional;17 Rioja, La;Tasa de homicidios;2013;0,00
Total Nacional;17 Rioja, La;Tasa de homicidios;2012;0,31
Total Nacional;17 Rioja, La;Tasa de homicidios;2011;0,62
